year,month,dest,lat,lon,count
2019,1,KSFO,37.618999,-122.375000,6116
2021,3,KFLL,26.072599,-80.152702,6115
2019,1,KPHX,33.435302,-112.005905,6102
2020,6,KATL,33.636700,-84.428101,6030
2019,12,KLGA,40.777199,-73.872597,6028
2020,1,KLGA,40.777199,-73.872597,6012
2019,2,KSFO,37.618999,-122.375000,6011
2019,10,KSAN,32.733601,-117.190002,6006
2020,9,KPHX,33.435302,-112.005905,5995
2020,1,KMSP,44.882000,-93.221802,5974
2019,11,KIAH,29.984400,-95.341400,5972
2019,6,KORD,41.978600,-87.904800,5951
2019,11,KMSP,44.882000,-93.221802,5938
2020,3,KFLL,26.072599,-80.152702,5921
2021,2,KDFW,32.896801,-97.038002,5917
2019,12,KFLL,26.072599,-80.152702,5878
2021,3,KMSP,44.882000,-93.221802,5866
2019,10,KJFK,40.639801,-73.778900,5846
2020,3,KDEN,39.861698,-104.672997,5830
2020,2,KLGA,40.777199,-73.872597,5821
2019,7,KSAN,32.733601,-117.190002,5816
2021,2,KLAS,36.080101,-115.152000,5791
2020,2,KDTW,42.212399,-83.353401,5791
2019,12,KSAN,32.733601,-117.190002,5773
2019,11,KEWR,40.692501,-74.168701,5772
2019,12,KBWI,39.175400,-76.668297,5763
2020,1,KSAN,32.733601,-117.190002,5760
2019,4,KDEN,39.861698,-104.672997,5733
2019,11,KLGA,40.777199,-73.872597,5689
2020,1,KEWR,40.692501,-74.168701,5686
2019,12,KEWR,40.692501,-74.168701,5679
2019,11,KSAN,32.733601,-117.190002,5678
2019,12,KTPA,27.975500,-82.533203,5675
2020,2,KIAH,29.984400,-95.341400,5640
2021,3,KCLT,35.214001,-80.943100,5639
2020,2,KSAN,32.733601,-117.190002,5588
2020,2,KEWR,40.692501,-74.168701,5527
2020,1,KIAH,29.984400,-95.341400,5520
2019,7,KSEA,47.449001,-122.308998,5515
2019,11,KJFK,40.639801,-73.778900,5507
2021,1,KORD,41.978600,-87.904800,5484
2019,9,KLGA,40.777199,-73.872597,5471
2019,8,KLGA,40.777199,-73.872597,5454
2020,1,KJFK,40.639801,-73.778900,5440
2019,12,KJFK,40.639801,-73.778900,5431
2020,6,KDFW,32.896801,-97.038002,5403
2020,1,KDTW,42.212399,-83.353401,5384
2019,4,KMSP,44.882000,-93.221802,5381
2020,1,KDEN,39.861698,-104.672997,5367
2019,10,KMDW,41.785999,-87.752403,5362
2019,10,KEWR,40.692501,-74.168701,5353
2019,9,KSAN,32.733601,-117.190002,5338
2020,1,KTPA,27.975500,-82.533203,5325
2020,1,KMIA,25.793200,-80.290604,5322
2020,3,KSAN,32.733601,-117.190002,5321
2020,2,KJFK,40.639801,-73.778900,5320
2019,8,KBWI,39.175400,-76.668297,5309
2019,8,KJFK,40.639801,-73.778900,5288
2020,10,KCLT,35.214001,-80.943100,5275
2019,10,KBNA,36.124500,-86.678200,5269
2019,11,KFLL,26.072599,-80.152702,5252
2020,2,KMSP,44.882000,-93.221802,5223
2020,1,KBWI,39.175400,-76.668297,5215
2019,1,KBOS,42.364300,-71.005203,5208
2019,11,KBWI,39.175400,-76.668297,5184
2019,10,KBWI,39.175400,-76.668297,5181
2019,12,KMIA,25.793200,-80.290604,5180
2021,2,KORD,41.978600,-87.904800,5156
2019,10,KPHL,39.871899,-75.241096,5150
2019,5,KSAN,32.733601,-117.190002,5149
2019,6,KSAN,32.733601,-117.190002,5143
2019,2,KBOS,42.364300,-71.005203,5134
2019,10,KSEA,47.449001,-122.308998,5065
2019,11,KTPA,27.975500,-82.533203,5058
2020,3,KIAH,29.984400,-95.341400,5055
2019,12,KPHL,39.871899,-75.241096,5053
2019,10,KATL,33.636700,-84.428101,5042
2020,2,KMIA,25.793200,-80.290604,5041
2019,9,KJFK,40.639801,-73.778900,5014
2021,2,KMCO,28.429399,-81.308998,5007
2020,4,KATL,33.636700,-84.428101,5004
2019,8,KMDW,41.785999,-87.752403,4998
2019,7,KJFK,40.639801,-73.778900,4997
2020,2,KBWI,39.175400,-76.668297,4931
2019,9,KSEA,47.449001,-122.308998,4918
2021,3,KMIA,25.793200,-80.290604,4912
2019,12,KMDW,41.785999,-87.752403,4907
2020,3,KBWI,39.175400,-76.668297,4893
2019,8,KPHL,39.871899,-75.241096,4866
2019,5,KJFK,40.639801,-73.778900,4858
2019,11,KDEN,39.861698,-104.672997,4854
2019,11,KPHL,39.871899,-75.241096,4832
2020,12,KMSP,44.882000,-93.221802,4823
2019,10,KDEN,39.861698,-104.672997,4818
2020,3,KEWR,40.692501,-74.168701,4816
2020,2,KCLT,35.214001,-80.943100,4791
2020,3,KLGA,40.777199,-73.872597,4790
2020,3,KDTW,42.212399,-83.353401,4787
2019,5,KLGA,40.777199,-73.872597,4786
2020,1,KPHL,39.871899,-75.241096,4773
2019,12,KSEA,47.449001,-122.308998,4761
2019,4,KSAN,32.733601,-117.190002,4760
2019,1,KJFK,40.639801,-73.778900,4759
2019,11,KBNA,36.124500,-86.678200,4750
