ident,type,name,lat,lon,country,region,city
KOAK,large_airport,Metropolitan Oakland International Airport,37.721298,-122.221001,US,US-CA,Oakland
KOKC,large_airport,Will Rogers World Airport,35.393101,-97.600700,US,US-OK,Oklahoma City
KOMA,large_airport,Eppley Airfield,41.303200,-95.894096,US,US-NE,Omaha
KONT,large_airport,Ontario International Airport,34.056000,-117.600998,US,US-CA,Ontario
KORD,large_airport,Chicago O'Hare International Airport,41.978600,-87.904800,US,US-IL,Chicago
KORF,large_airport,Norfolk International Airport,36.894600,-76.201202,US,US-VA,Norfolk
KPBI,large_airport,Palm Beach International Airport,26.683201,-80.095596,US,US-FL,West Palm Beach
KPDX,large_airport,Portland International Airport,45.588699,-122.598000,US,US-OR,Portland
KPHF,large_airport,Newport News Williamsburg International Airport,37.131901,-76.492996,US,US-VA,Newport News
KPHL,large_airport,Philadelphia International Airport,39.871899,-75.241096,US,US-PA,Philadelphia
KPHX,large_airport,Phoenix Sky Harbor International Airport,33.435302,-112.005905,US,US-AZ,Phoenix
KPIA,large_airport,General Wayne A. Downing Peoria International Airport,40.664200,-89.693298,US,US-IL,Peoria
KPIT,large_airport,Pittsburgh International Airport,40.491501,-80.232903,US,US-PA,Pittsburgh
KPVD,large_airport,Theodore Francis Green State Airport,41.732601,-71.420403,US,US-RI,Providence
KPWM,large_airport,Portland International Jetport,43.646198,-70.309303,US,US-ME,Portland
KRDU,large_airport,Raleigh Durham International Airport,35.877602,-78.787498,US,US-NC,Raleigh/Durham
KRFD,large_airport,Chicago Rockford International Airport,42.195400,-89.097198,US,US-IL,Chicago/Rockford
KRIC,large_airport,Richmond International Airport,37.505199,-77.319702,US,US-VA,Richmond
KRNO,large_airport,Reno Tahoe International Airport,39.499100,-119.767998,US,US-NV,Reno
KROA,large_airport,Roanoke–Blacksburg Regional Airport,37.325500,-79.975403,US,US-VA,Roanoke
KROC,large_airport,Greater Rochester International Airport,43.118900,-77.672401,US,US-NY,Rochester
KRST,large_airport,Rochester International Airport,43.908298,-92.500000,US,US-MN,Rochester
KRSW,large_airport,Southwest Florida International Airport,26.536200,-81.755203,US,US-FL,Fort Myers
KSAN,large_airport,San Diego International Airport,32.733601,-117.190002,US,US-CA,San Diego
KSAT,large_airport,San Antonio International Airport,29.533701,-98.469803,US,US-TX,San Antonio
KSAV,large_airport,Savannah Hilton Head International Airport,32.127602,-81.202103,US,US-GA,Savannah
KSBN,large_airport,South Bend Regional Airport,41.708698,-86.317299,US,US-IN,South Bend
KSDF,large_airport,Louisville Muhammad Ali International Airport,38.174400,-85.736000,US,US-KY,Louisville
KSEA,large_airport,Seattle Tacoma International Airport,47.449001,-122.308998,US,US-WA,Seattle
KSFB,large_airport,Orlando Sanford International Airport,28.777599,-81.237503,US,US-FL,Orlando
KSFO,large_airport,San Francisco International Airport,37.618999,-122.375000,US,US-CA,San Francisco
KSGF,large_airport,Springfield Branson National Airport,37.245701,-93.388603,US,US-MO,Springfield
KSJC,large_airport,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,US,US-CA,San Jose
KSLC,large_airport,Salt Lake City International Airport,40.785749,-111.979746,US,US-UT,Salt Lake City
KSMF,large_airport,Sacramento International Airport,38.695400,-121.591003,US,US-CA,Sacramento
KSNA,large_airport,John Wayne Airport-Orange County Airport,33.675701,-117.867996,US,US-CA,Santa Ana
KSPI,large_airport,Abraham Lincoln Capital Airport,39.844101,-89.677902,US,US-IL,Springfield
KSRQ,large_airport,Sarasota Bradenton International Airport,27.395399,-82.554398,US,US-FL,Sarasota/Bradenton
KSTL,large_airport,St Louis Lambert International Airport,38.748697,-90.370003,US,US-MO,St Louis
