year,month,week,airline,count
2020,1,2,FFT,1220
2020,1,2,AAY,189
2020,1,2,UAL,7232
2020,1,2,NKS,2114
2020,1,2,SWA,14256
2020,1,2,SCX,238
2020,1,3,DAL,9808
2020,1,3,AAL,10416
2020,1,3,SWA,13649
2020,1,3,FFT,1135
2020,1,3,AAY,157
2020,1,3,JBU,2761
2020,1,3,NKS,1903
2020,1,3,SKW,4019
2020,1,3,SCX,216
2020,1,3,UAL,6682
2020,1,4,SKW,4165
2020,1,4,NKS,1977
2020,1,4,SWA,13780
2020,1,4,FFT,1122
2020,1,4,AAL,10586
2020,1,4,AAY,164
2020,1,4,DAL,9860
2020,1,4,SCX,228
2020,1,4,JBU,2735
2020,1,4,UAL,6896
2020,1,5,SWA,10873
2020,1,5,AAL,8226
2020,1,5,JBU,2133
2020,1,5,NKS,1511
2020,1,5,DAL,8352
2020,1,5,SCX,177
2020,1,5,UAL,5537
2020,1,5,AAY,105
2020,1,5,FFT,883
2020,1,5,SKW,3343
2020,2,5,UAL,1989
2020,2,5,SKW,1169
2020,2,5,SCX,67
2020,2,5,SWA,3650
2020,2,5,FFT,349
2020,2,5,DAL,2668
2020,2,5,AAL,3021
2020,2,5,AAY,54
2020,2,5,NKS,643
2020,2,5,JBU,744
2020,2,6,SKW,4618
2020,2,6,AAL,11034
2020,2,6,UAL,7710
2020,2,6,NKS,2242
2020,2,6,JBU,2998
2020,2,6,FFT,1298
2020,2,6,DAL,11273
2020,2,6,SCX,271
2020,2,6,AAY,162
2020,2,6,SWA,15023
2020,2,7,AAL,11092
2020,2,7,AAY,194
2020,2,7,JBU,2974
2020,2,7,DAL,11103
2020,2,7,SCX,287
2020,2,7,UAL,7615
2020,2,7,SKW,4657
2020,2,7,NKS,2246
2020,2,7,SWA,14803
2020,2,7,FFT,1266
2020,2,8,UAL,8144
2020,2,8,SCX,272
2020,2,8,NKS,2407
2020,2,8,AAL,11875
2020,2,8,SWA,15121
2020,2,8,AAY,212
2020,2,8,SKW,4784
2020,2,8,FFT,1244
2020,2,8,DAL,10976
2020,2,8,JBU,3030
2020,2,9,JBU,2544
2020,2,9,AAL,10029
2020,2,9,NKS,1923
2020,2,9,SKW,4287
2020,2,9,FFT,976
2020,2,9,SCX,215
2020,2,9,AAY,186
2020,2,9,DAL,9879
2020,2,9,UAL,6944
2020,2,9,SWA,12704
2020,3,9,FFT,169
2020,3,9,DAL,1308
2020,3,9,UAL,1001
2020,3,9,AAL,1568
2020,3,9,NKS,313
2020,3,9,SWA,1723
2020,3,9,AAY,31
2020,3,9,SCX,41
2020,3,9,SKW,600
2020,3,9,JBU,404
2020,3,10,AAL,11788
2020,3,10,SCX,281
2020,3,10,UAL,8085
2020,3,10,DAL,11308
2020,3,10,SWA,14827
2020,3,10,JBU,3024
2020,3,10,AAY,213
2020,3,10,SKW,4989
2020,3,10,FFT,1133
2020,3,10,NKS,2217
2020,3,11,FFT,1306
2020,3,11,UAL,8514
2020,3,11,JBU,3119
2020,3,11,SKW,4794
2020,3,11,SWA,15545
2020,3,11,SCX,281
2020,3,11,AAL,11960
2020,3,11,AAY,238
2020,3,11,DAL,11130
2020,3,11,NKS,2215
2020,3,12,UAL,6961
2020,3,12,SWA,11952
2020,3,12,SKW,4398
2020,3,12,SCX,212
2020,3,12,NKS,1894
2020,3,12,FFT,1094
2020,3,12,AAL,10306
2020,3,12,JBU,2872
2020,3,12,AAY,155
2020,3,12,DAL,8601
2020,3,13,NKS,1728
2020,3,13,UAL,3121
2020,3,13,AAL,5964
2020,3,13,DAL,4602
2020,3,13,FFT,640
2020,3,13,SCX,130
2020,3,13,JBU,1543
2020,3,13,SWA,9656
2020,3,13,AAY,55
2020,3,13,SKW,3390
2020,3,14,AAY,3
2020,3,14,FFT,35
2020,3,14,SKW,920
2020,3,14,UAL,785
2020,3,14,SWA,2315
2020,3,14,DAL,1169
2020,3,14,AAL,1441
2020,3,14,JBU,242
2020,3,14,SCX,21
2020,3,14,NKS,536
2020,4,14,SKW,1573
2020,4,14,JBU,496
2020,4,14,SCX,31
2020,4,14,UAL,1031
2020,4,14,DAL,2043
2020,4,14,FFT,95
2020,4,14,NKS,1261
2020,4,14,AAL,4411
2020,4,14,SWA,5815
2020,4,14,AAY,16
2020,4,15,SKW,2082
2020,4,15,JBU,678
2020,4,15,UAL,2306
2020,4,15,SWA,7151
2020,4,15,FFT,236
2020,4,15,AAL,4331
2020,4,15,NKS,685
2020,4,15,AAY,12
2020,4,15,DAL,3035
2020,4,15,SCX,21
2020,4,16,FFT,138
2020,4,16,DAL,2544
2020,4,16,UAL,1590
2020,4,16,NKS,257
2020,4,16,SKW,1781
2020,4,16,JBU,465
2020,4,16,AAY,11
2020,4,16,SWA,5994
2020,4,16,AAL,3686
2020,4,16,SCX,31
2020,4,17,DAL,2488
2020,4,17,SCX,36
2020,4,17,JBU,389
2020,4,17,NKS,240
2020,4,17,UAL,1153
2020,4,17,AAY,13
2020,4,17,FFT,141
2020,4,17,AAL,3027
2020,4,17,SKW,1890
2020,4,17,SWA,5090
2020,4,18,FFT,48
2020,4,18,AAL,1814
2020,4,18,SWA,3049
2020,4,18,SKW,1068
2020,4,18,DAL,1395
2020,4,18,AAY,13
2020,4,18,SCX,25
2020,4,18,JBU,258
2020,4,18,NKS,150
2020,4,18,UAL,735
2020,5,18,NKS,102
2020,5,18,SCX,20
2020,5,18,AAL,1731
2020,5,18,AAY,18
2020,5,18,JBU,170
2020,5,18,UAL,661
2020,5,18,SWA,2357
2020,5,18,FFT,79
2020,5,18,SKW,725
2020,5,18,DAL,1040
2020,5,19,FFT,225
2020,5,19,SCX,43
2020,5,19,UAL,1181
2020,5,19,JBU,365
2020,5,19,SWA,5747
2020,5,19,DAL,2231
2020,5,19,AAL,3573
2020,5,19,NKS,168
2020,5,19,AAY,61
2020,5,19,SKW,1628
2020,5,20,DAL,2357
2020,5,20,SWA,5870
2020,5,20,JBU,313
2020,5,20,NKS,169
2020,5,20,SCX,59
2020,5,20,UAL,1146
2020,5,20,AAY,124
2020,5,20,SKW,1798
2020,5,20,AAL,3371
2020,5,20,FFT,242
2020,5,21,DAL,2396
2020,5,21,AAY,159
2020,5,21,JBU,294
2020,5,21,SWA,6156
2020,5,21,SCX,99
2020,5,21,UAL,1073
2020,5,21,NKS,150
2020,5,21,AAL,3386
2020,5,21,FFT,277
2020,5,21,SKW,1799
2020,5,22,SKW,1810
2020,5,22,FFT,329
2020,5,22,DAL,2280
2020,5,22,SCX,95
2020,5,22,UAL,1060
